SN,open,high,low,close,change,pct_change,turnover,date
90,"2,653.57","2,660.64","2,626.02","2,631.25",-19.72,-0.74,"2,570,401,188.08",2022-03-16
91,"2,673.55","2,675.83","2,637.23","2,650.97",-17.15,-0.64,"3,364,229,175.35",2022-03-15
92,"2,677.97","2,682.57","2,650.42","2,668.11",0.15,0.01,"1,342,232,838.50",2022-03-14
93,"2,575.27","2,667.97","2,575.27","2,667.97",101.07,3.94,"4,870,715,387.13",2022-03-13
94,"2,512.04","2,566.90","2,499.03","2,566.90",52.31,2.08,"2,791,872,969.76",2022-03-10
95,"2,542.42","2,557.08","2,504.48","2,514.58",-30.36,-1.19,"2,352,317,142.03",2022-03-09
96,"2,542.66","2,566.29","2,538.44","2,544.94",1.55,0.06,"2,600,930,402.61",2022-03-07
97,"2,542.57","2,568.11","2,528.15","2,543.39",-3.66,-0.14,"2,493,241,272.52",2022-03-06
98,"2,612.51","2,612.51","2,542.77","2,547.04",-63.54,-2.43,"3,621,143,979.32",2022-03-02
99,"2,662.26","2,683.47","2,607.00","2,610.58",-43.12,-1.62,"3,660,189,867.56",2022-02-28
100,"2,660.39","2,680.39","2,638.64","2,653.70",-7.73,-0.29,"3,273,065,909.76",2022-02-27
101,"2,715.44","2,715.44","2,654.98","2,661.44",-58.99,-2.17,"4,293,864,191.66",2022-02-24
102,"2,732.48","2,747.18","2,716.44","2,720.43",-15.50,-0.57,"3,131,210,281.88",2022-02-23
103,"2,719.89","2,750.09","2,719.89","2,735.93",17.42,0.64,"3,212,887,822.11",2022-02-22
104,"2,695.26","2,718.81","2,694.16","2,718.51",25.41,0.94,"2,997,681,072.21",2022-02-21
105,"2,713.52","2,715.83","2,670.39","2,693.10",-39.40,-1.44,"4,086,474,828.31",2022-02-20
106,"2,735.33","2,745.21","2,723.77","2,732.51",-1.94,-0.07,"2,278,173,660.05",2022-02-17
107,"2,759.37","2,771.69","2,725.34","2,734.44",-19.84,-0.72,"3,026,330,784.14",2022-02-16
108,"2,703.35","2,754.29","2,703.35","2,754.29",53.30,1.97,"3,233,318,614.47",2022-02-15
109,"2,697.37","2,728.13","2,695.12","2,700.98",0.08,0.00,"3,684,009,915.07",2022-02-14
110,"2,783.89","2,783.89","2,697.78","2,700.89",-100.67,-3.59,"5,977,214,730.64",2022-02-13
111,"2,813.33","2,825.33","2,791.10","2,801.56",-11.96,-0.43,"3,829,533,350.00",2022-02-10
112,"2,837.33","2,837.33","2,800.08","2,813.52",-22.06,-0.78,"3,471,109,182.00",2022-02-09
113,"2,877.58","2,921.18","2,826.35","2,835.58",-16.30,-0.57,"6,287,217,985.00",2022-02-08
114,"2,834.26","2,853.78","2,822.88","2,851.88",15.71,0.55,"5,022,017,181.00",2022-02-07
115,"2,877.04","2,877.04","2,829.17","2,836.17",-40.57,-1.41,"5,836,414,510.47",2022-02-06
116,"2,898.61","2,925.05","2,871.82","2,876.74",-14.60,-0.50,"8,612,174,162.00",2022-02-03
117,"2,875.74","2,896.47","2,856.68","2,891.33",19.29,0.67,"6,574,842,418.00",2022-02-01
118,"2,895.77","2,907.61","2,860.92","2,872.05",-13.48,-0.47,"5,154,177,598.00",2022-01-31
119,"2,805.01","2,885.53","2,805.01","2,885.53",105.55,3.80,"6,324,274,039.00",2022-01-30
120,"2,778.89","2,803.75","2,776.88","2,779.98",3.33,0.12,"3,343,413,684.00",2022-01-27
121,"2,817.17","2,819.74","2,761.28","2,776.65",-38.42,-1.36,"4,313,154,042.17",2022-01-26
122,"2,827.75","2,857.61","2,781.48","2,815.06",-5.59,-0.20,"5,395,672,627.02",2022-01-25
123,"2,926.12","2,926.12","2,804.07","2,820.65",-99.86,-3.42,"8,888,513,178.00",2022-01-24
124,"2,942.97","2,961.93","2,906.28","2,920.51",-10.83,-0.37,"7,030,508,263.00",2022-01-23
125,"2,901.51","2,931.34","2,884.91","2,931.34",33.03,1.14,"5,773,120,409.17",2022-01-20
126,"2,945.63","2,950.14","2,890.00","2,898.31",-38.35,-1.31,"6,021,311,881.03",2022-01-19
127,"2,953.11","2,981.35","2,916.06","2,936.66",-10.78,-0.37,"8,443,419,561.86",2022-01-18
128,"2,944.92","2,955.60","2,907.95","2,947.43",20.69,0.71,"7,901,890,668.00",2022-01-17
129,"2,873.42","2,940.13","2,873.42","2,926.74",69.00,2.41,"9,676,317,059.00",2022-01-16
130,"2,808.80","2,857.75","2,802.80","2,857.75",54.12,1.93,"6,669,748,567.76",2022-01-13
