Date,open,high,low,close,MA20,MA50,Daily_Returns,Volatility,EMA20,EMA50,RSI,Bollinger_MA20,Bollinger_Upper,Bollinger_Lower,EMA12,EMA26,MACD,MACD_Signal
2020-07-28,2800.0,2755.0,2744.0,2744.0,2770.8,2164.06,-0.020000000000000018,0.07565019611096875,2679.433908266727,2210.1735407452775,52.21785513756317,2770.8,3138.032953457698,2403.5670465423023,2752.2403699002457,2595.675055847463,156.56531405278247,199.4956088375705
2020-07-29,2744.0,2744.0,2710.0,2711.0,2750.4,2208.6,-0.012026239067055355,0.07030222034433037,2682.4402027175147,2229.8137940493843,56.46630236794171,2750.4,3079.5439614643137,2421.2560385356865,2745.8956976079,2604.2176443032067,141.6780533046931,187.93209773099503
2020-07-30,2711.0,2725.0,2710.0,2725.0,2731.4,2253.42,0.005164146071560349,0.0703377420330357,2686.4935167444182,2249.232860949409,64.52494873547505,2731.4,3015.0895263636316,2447.7104736363685,2742.6809748989917,2613.164485465932,129.51648943305963,176.24897607140795
2020-08-02,2725.0,2700.0,2671.0,2671.0,2717.45,2296.98,-0.01981651376146787,0.06962952399984923,2685.0179437211405,2265.7727487553148,40.74457083764219,2717.45,2982.720051080027,2452.1799489199725,2731.6531326068393,2617.4485976536407,114.20453495319862,163.84008784776609
2020-08-03,2671.0,2725.0,2671.0,2701.0,2709.95,2338.94,0.011231748408835562,0.06930880283054344,2686.5400443191274,2282.840484098244,59.55056179775281,2709.95,2967.6968974748193,2452.2031025251804,2726.9372660519407,2623.6375904200377,103.29967563190303,151.73200540459348
2020-08-05,2701.0,2701.0,2655.0,2690.0,2708.45,2379.58,-0.004072565716401355,0.0684942429479271,2686.869563907782,2298.8075239375285,38.72950819672131,2708.45,2966.299793076267,2450.6002069237325,2721.2546097362574,2628.553324462998,92.7012852732596,139.92586137832672
2020-08-10,2700.0,2740.0,2700.0,2740.0,2712.2,2413.64,0.018587360594795488,0.06839613217119868,2691.929605440374,2316.1091896654684,50.0,2712.2,2969.570181890436,2454.829818109564,2724.138515930679,2636.8086337620352,87.32988216864396,129.40666553639016
2020-08-11,2740.0,2700.0,2675.0,2675.0,2721.05,2444.34,-0.02372262773722633,0.06695430974416827,2690.3172620651003,2330.183339090352,43.59925788497216,2721.05,2958.8349315751757,2483.2650684248247,2716.578744249036,2639.6376238537364,76.94112039529955,118.91355650817205
2020-08-13,2656.0,2660.0,2658.0,2658.0,2738.95,2467.18,-0.006355140186915853,0.06402339964040131,2687.23942758271,2343.0388944201422,40.555555555555564,2738.95,2875.7225349468595,2602.17746505314,2707.5666297491844,2640.9977998645704,66.56882988461393,108.44461118346044
2020-08-16,2658.0,2703.0,2650.0,2703.0,2731.6,2490.0,0.016930022573363512,0.03443540589365429,2688.740434479595,2357.155016207588,39.43396226415094,2731.6,2858.7027764821605,2604.4972235178393,2706.864071326233,2645.5905554301576,61.27351589607542,99.01039212598344
2020-08-17,2703.0,2740.0,2720.0,2730.0,2739.85,2514.8,0.009988901220865598,0.025630752405543876,2692.66991691011,2371.7763881210158,43.54243542435424,2739.85,2839.9789169021637,2639.721083097836,2710.423444968351,2651.8431068797754,58.580338088575445,90.92438131850184
2020-08-18,2730.0,2770.0,2705.0,2770.0,2738.35,2539.2,0.0146520146520146,0.015446617546160078,2700.0346867281946,2387.3930003515643,50.922509225092256,2738.35,2835.540588671518,2641.159411328482,2719.589068819374,2660.5954693331255,58.99359948624851,84.5382249520512
2020-08-20,2711.0,2760.0,2760.0,2760.0,2739.35,2563.68,-0.0036101083032491488,0.014665543631745801,2705.7456689445567,2402.0050395534636,42.73858921161825,2739.35,2837.0224386055675,2641.6775613944324,2725.806135154855,2667.958767901042,57.84736725381299,79.20005341240356
2020-08-23,2760.0,2760.0,2750.0,2750.0,2739.65,2586.76,-0.0036231884057971175,0.014691432069689654,2709.9603671403133,2415.651900747446,44.58874458874459,2739.65,2837.4193849401713,2641.880615059829,2729.528268207954,2674.0358962046685,55.49237200328571,74.45851713057999
2020-08-24,2750.0,2861.0,2753.0,2802.0,2741.75,2610.6,0.018909090909090986,0.015235676555975103,2718.726046460283,2430.802806600487,56.33187772925764,2741.75,2843.0985387945475,2640.4014612054525,2740.67776540673,2683.5147187080265,57.16304669870351,70.9994230442047
2020-08-25,2802.0,2820.0,2750.0,2800.0,2741.0,2634.28,-0.0007137758743754885,0.014560625076038851,2726.4664229878754,2445.281127910272,60.421545667447305,2741.0,2840.266785667929,2641.733214332071,2749.804263036464,2692.1432580629876,57.66100497347634,68.33173943005903
2020-08-26,2800.0,2800.0,2750.0,2789.0,2740.45,2650.78,-0.003928571428571392,0.014537849193479009,2732.422001750935,2458.7602993647715,57.54716981132075,2740.45,2838.454242657896,2642.4457573421037,2755.8343764154697,2699.317831539803,56.51654487566657,65.96870051918054
2020-08-27,2789.0,2756.0,2750.0,2755.0,2740.2,2666.28,-0.012190749372534948,0.014437432436051823,2734.572287298465,2470.3775425269373,60.396039603960396,2740.2,2838.0195976489936,2642.380402351006,2755.7060108130895,2703.442436610929,52.263574202160726,63.22767525577658
2020-08-31,2810.0,2902.0,2820.0,2880.0,2742.7,2683.82,0.04537205081669682,0.016788741476341188,2748.422545650992,2486.441168310195,67.93587174348697,2742.7,2852.058127269995,2633.3418727300045,2774.828162995691,2716.520774639749,58.30738835594184,62.24361787580963
2020-09-06,2900.0,3000.0,2898.0,2995.0,2752.45,2701.52,0.03993055555555558,0.018648876436763277,2771.90611273185,2506.3846519058734,75.29021558872304,2752.45,2908.2345678459446,2596.665432154055,2808.7007533040464,2737.148865407175,71.55188789687145,64.105271880022
2020-09-10,3495.0,3514.0,3362.0,3370.0,2783.75,2718.92,0.12520868113522532,0.03228495540480683,2828.8674353288166,2540.251920458584,83.94396551724138,2783.75,3100.6360828021398,2466.8639171978602,2895.0544835649625,2784.0267272288656,111.0277563360969,73.48976877123698
2020-09-13,3370.0,3350.0,3240.0,3275.0,2811.95,2735.24,-0.028189910979228516,0.033078872312355685,2871.3562510117863,2569.0655706366792,81.3152400835073,2811.95,3195.0423895711956,2428.857610428804,2953.5076399395834,2820.3951178045054,133.11252213507805,85.4143194440052
2020-09-14,3275.0,3340.0,3210.0,3271.0,2839.25,2753.52,-0.001221374045801582,0.033158598435109855,2909.4175604392353,2596.5924110038686,82.43386243386243,2839.25,3270.983287550251,2407.516712449749,3002.3526184104167,2853.7732572263935,148.57936118402313,98.04732779200879
2020-09-17,3295.0,3320.0,3290.0,3300.0,2870.7,2769.74,0.008865790278202335,0.03242847732533544,2946.6158880164508,2624.1770223370504,82.1313240043057,2870.7,3340.766109572283,2400.633890427717,3048.1445232703522,2886.8270900244383,161.3174332459139,110.70134888278982
2020-09-21,3300.0,3280.0,3235.0,3259.0,2898.6,2786.92,-0.012424242424242449,0.0328521593070616,2976.366755824408,2649.072041068931,78.04878048780488,2898.6,3391.919753250738,2405.280246749262,3080.5838273826057,2914.3954537263317,166.18837365627405,121.79875383748667
2020-09-22,3259.0,3390.0,3265.0,3300.0,2929.1,2804.82,0.01258054617980986,0.032689493179881644,3007.1889695554164,2674.5986276936787,78.07203389830508,2929.1,3443.1108129110457,2415.089187088954,3114.3401616314354,2942.958753450307,171.38140818112834,131.71528470621502
2020-09-23,3300.0,3366.0,3257.0,3330.0,2958.6,2823.5,0.009090909090909038,0.03263862629139922,3037.9328772168055,2700.3006422939266,79.5643153526971,2958.6,3494.1844422094828,2423.015557790517,3147.518598303522,2971.628475416951,175.89012288657113,140.55025234228626
2020-09-24,3330.0,3640.0,3350.0,3600.0,3004.85,2845.92,0.08108108108108114,0.03520487252518995,3091.4630793866336,2735.582970047106,84.72222222222223,3004.85,3594.3590821138696,2415.3409178861302,3217.131121641442,3018.1745142749546,198.95660736648733,152.23152334712648
2020-09-27,3600.0,3650.0,3530.0,3600.0,3051.95,2868.2,0.0,0.035025282091917354,3139.8951670640968,2769.481677104082,84.04436860068259,3051.95,3674.3824017408174,2429.5175982591823,3276.034026004297,3061.272698402736,214.76132760156133,164.73748419801348
2020-09-28,3600.0,3567.0,3396.0,3545.0,3094.05,2887.08,-0.015277777777777724,0.035706111039823255,3178.476579724659,2799.8941603549024,80.40816326530611,3094.05,3730.8411249712153,2457.258875028785,3317.4134066190204,3097.104350372904,220.3090562461166,175.85179860763412
2020-09-29,3545.0,3480.0,3412.0,3448.0,3129.95,2900.38,-0.027362482369534535,0.03689631169710501,3204.145476893739,2825.3100756351023,75.13348588863462,3129.95,3761.257907192846,2498.642092807154,3337.503651754556,3123.0966207156516,214.40703103890428,183.56284509388817
2020-09-30,3448.0,3450.0,3405.0,3406.0,3161.75,2906.12,-0.012180974477958184,0.03729419742225003,3223.3697171895733,2848.082229531765,74.67778620166793,3161.75,3780.666838219465,2542.833161780535,3348.041551484624,3144.052426588566,203.989124896058,187.64810105432215
2020-10-01,3406.0,3543.0,3466.0,3480.0,3197.75,2913.62,0.02172636523781568,0.0372014355811393,3247.8106965048523,2872.863318569735,73.65930599369085,3197.75,3801.8562559029274,2593.6437440970726,3368.34285125622,3168.93743202645,199.4054192297699,189.9995646894117
2020-10-04,3480.0,3550.0,3520.0,3512.0,3235.85,2924.86,0.009195402298850519,0.0370229731087841,3272.9715825520093,2897.9275021552353,71.81434599156118,3235.85,3816.7253014111325,2654.9746985888673,3390.4439510629554,3194.349474098565,196.0944769643902,191.2185471444074
2020-10-05,3512.0,3500.0,3475.0,3475.0,3269.5,2937.34,-0.010535307517084314,0.037356357697124594,3292.2123842137225,2920.5577961883637,56.19834710743801,3269.5,3821.8246566248786,2717.1753433751214,3403.452573976347,3215.138401943116,188.314172033231,190.63767212217212
2020-10-06,3475.0,3500.0,3450.0,3495.0,3304.25,2952.84,0.0057553956834532904,0.037273394881665006,3311.5254904790822,2943.084941435879,64.24870466321244,3304.25,3818.328787735888,2790.171212264112,3417.536793364601,3235.86889068807,181.66790267653096,188.8437182330439
2020-10-07,3495.0,3524.0,3450.0,3500.0,3339.8,2969.54,0.0014306151645206988,0.037173691832193545,3329.475443766789,2964.9247476540795,64.8124191461837,3339.8,3799.290610407473,2880.309389592527,3430.223440539278,3255.4341580445093,174.78928249476849,186.0328310853888
