Date,No. Of Transaction,high,low,close,volume,Amount,open,Difference Rs.,MA20,MA50,Daily_Returns,Volatility,EMA20,EMA50,RSI,Bollinger_MA20,Bollinger_Upper,Bollinger_Lower,EMA12,EMA26,MACD,MACD_Signal
2020-07-28,155.0,630.0,616.0,618.0,34339.0,21351574.0,625.0,-7.0,615.05,544.54,-0.011199999999999988,0.055811230754346026,598.717788175457,585.5667156175742,55.18518518518519,615.05,718.5944984433978,511.5055015566021,607.3012562182264,592.9955397583599,14.305716459866517,14.190904084604782
2020-07-29,245.0,617.0,592.0,595.0,49064.0,29691734.0,618.0,-23.0,610.65,543.14,-0.03721682847896435,0.05164662073542366,598.3637131111277,585.9366483384538,59.12698412698413,610.65,709.4049332545233,511.89506674547675,605.4087552615762,593.1440182947777,12.264736966798523,13.805670661043532
2020-07-30,223.0,610.0,586.0,605.0,37889.0,22845911.0,595.0,10.0,604.6,542.92,0.01680672268907557,0.04940302975368447,598.9957404338775,586.6842307565537,70.04405286343612,604.6,687.0861072832081,522.113892716792,605.3458698367183,594.0222391618312,11.323630674887113,13.309262663812248
2020-08-02,229.0,605.0,579.0,579.0,47024.0,27748467.0,605.0,-26.0,598.1,542.46,-0.04297520661157028,0.04991643469396669,597.0913842020796,586.3828883739438,48.913043478260875,598.1,664.9538075127173,531.2461924872828,601.2926590926078,592.9094807053992,8.383178387208545,12.324045808491508
2020-08-03,121.0,594.0,560.0,583.0,13848.0,8060450.0,579.0,4.0,593.65,542.66,0.006908462867012188,0.0489602894681115,595.7493476114053,586.2502260847696,58.0246913580247,593.65,650.9590421817495,536.3409578182504,598.4784038475912,592.1754450975919,6.30295874999922,11.11982839679305
2020-08-05,177.0,579.0,565.0,570.0,26180.0,14943875.0,583.0,-13.0,590.15,543.0,-0.022298456260720356,0.048147069453442666,593.2970287912715,585.6129623167394,42.95774647887323,590.15,643.9851284258862,536.3148715741138,594.0971109479617,590.5328195348073,3.564291413154365,9.608721000065312
2020-08-10,181.0,601.0,573.0,600.0,24350.0,14448865.0,575.0,25.0,590.65,546.34,0.05263157894736836,0.0465011335410583,593.9354070016266,586.1771598729457,50.0,590.65,644.6647153439161,536.6352846560839,595.0052477251984,591.2340921618587,3.7711555633396756,8.441207912720184
2020-08-11,137.0,605.0,588.0,593.0,21303.0,12712613.0,600.0,-7.0,592.85,549.72,-0.011666666666666714,0.04353567201388705,593.8463206205192,586.4447222308694,46.98795180722891,592.85,643.1805913044216,542.5194086955785,594.6967480751679,591.3649001498691,3.3318479252988027,7.419335915235909
2020-08-13,77.0,588.0,581.0,584.0,7617.0,4441106.0,595.0,-11.0,596.35,553.2,-0.015177065767284947,0.04078186598254755,592.9085757995174,586.3488507708353,45.348837209302324,596.35,630.834321380197,561.865678619803,593.051094525142,590.8193519906195,2.2317425345225956,6.381817239093246
2020-08-16,120.0,585.0,562.0,575.0,15446.0,8858510.0,584.0,-9.0,595.95,557.02,-0.015410958904109595,0.027947555885993916,591.2029971519444,585.90379779943,43.575418994413404,595.95,631.2619928934257,560.6380071065744,590.2740030597356,589.6475481394625,0.6264549202730905,5.230744775329216
